234;opiekun/opieka;die;Betreuung;Betreuungen;0;
235;przedsiębiorstwo;der;Betrieb;Betriebe;0;
236;wycieczka firmowa;der;Betriebsausflug;;0;
237;impreza integracyjna;das;Betriebsfest;;0;
238;rada zakłądowa;der;Betriebsrat;;0;
239;awaria;die;Betriebsstörung;;0;
240;spotkanie robocze;die;Betriebsversammlung;;0;
241;łóżko;das;Bett;Betten;0;
242;worek/portmonetka;der;Beutel;;0;
244;ruch;die;Bewegung;Bewegungen;0;
245;kandydat;der;Bewerber;Bewerber;0;
246;kandydatka;die;Bewerberin;Bewerberinnen;0;
247;podanie o pracę;die;Bewerbung;Bewerbungen;0;
248;mieszkaniec;der;Bewohner;Bewohner;0;
249;mieszkanka;die;Bewohnerin;Bewohnerinnen;0;
250;zapłata/wynagrodzenie;die;Bezahlung;brak;0;
251;związek/relacja;die;Beziehung;;0;
252;związek z czymś (zu etwas);der;Bezug;Bezüge;0;
253;biblioteka;die;Bibliothek;Bibliotheken;0;
254;pszczoła;die;Biene;Bienen;0;
255;piwo;das;Bier;brak;0;
256;znajomości;die;Bieziehung;Beziehungen;0;
257;obraz;das;Bild;Bilder;0;
258;historia obrazkowa;die;Bildergeschichte;;0;
259;jakosć obrazu;die;Bildqualität;;0;
260;monitor;der;Bildschirm;Bildschirme;0;
261;wykształcenie;die;Bildung;;0;
262;biologia;die;Biologie;brak;0;
263;gruszka;die;Birne;Birnen;0;
264;prośba;die;Bitte;Bitten;0;
265;liść;das;Blatt;Blätter;0;
266;ołówek;der;Bleistift;Bleistifte;0;
267;spojrzenie;der;Blick;Blicke;0;
268;błyskawica;der;Blitz;Blitze;0;
269;ankieta błyskawiczna;die;Blitzumfrage;;0;
270;kwiat;die;Blume;Blumen;0;
271;kwiaciarnia;der;Blumenladen;Blumenläden;0;
272;bukiet kwiatów;der;Blumenstrauß;;0;
273;bluza;die;Bluse;Blusen;0;
274;ciśnenie krwi;der;Blutdruck;;0;
275;grunt;der;Boden;Böden;0;
276;fasola;die;Bohne;Bohnen;0;
277;odwiert;die;Bohrung;;0;
278;cukierek;der;Bonbon;Bonbons;0;
279;zło/diabeł;das;Böse;;0;
280;ludzie;;brak;Leute;0;
281;meble;;brak;Möbel;0;
282;owoce morza;;brak;Meeresfrüchte;0;
283;pieczywo;;brak;Backwaren;0;
284;rodzeństwo;;brak;Geschwister;0;
285;rodzice;;brak;Eltern;0;
286;seniorzy;;brak;Senioren;0;
287;wakacje;;brak;Ferien;0;
288;wnuczęta;;brak;Enkelkinder;0;
